Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
IT Manager,IT Director,BBA,4 to 11 Years,Singapore,Singapore,Temporary,"An IT Director oversees an organizations IT department and technology infrastructure. They develop IT strategies, manage budgets, and ensure IT systems support business objectives.",$64K-$129K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Sales Representative,Inside Sales Representative,BCA,1 to 13 Years,Gaza,West Bank and Gaza,Full-Time,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.",$60K-$121K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Data Entry Clerk,Administrative Assistant,M.Tech,4 to 13 Years,Monrovia,Liberia,Full-Time,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",$58K-$124K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Public Relations Specialist,Crisis Communication Manager,B.Com,5 to 13 Years,Tegucigalpa,Honduras,Temporary,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",$59K-$100K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Paralegal,Corporate Paralegal,MCA,0 to 14 Years,Muscat,Oman,Temporary,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",$59K-$82K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Executive Assistant,Personal Assistant,PhD,2 to 13 Years,Port of Spain,Trinidad and Tobago,Contract,"A Personal Assistant provides administrative support to individuals or executives. Their duties include managing schedules, arranging meetings, handling correspondence, and performing various tasks to enhance efficiency.",$55K-$111K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Data Entry Clerk,Administrative Assistant,MCA,1 to 15 Years,Libreville,Gabon,Intern,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",$63K-$86K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Quality Assurance Analyst,Test Automation Engineer,BCA,0 to 12 Years,Kathmandu,Nepal,Full-Time,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.",$63K-$107K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Digital Marketing Specialist,SEO Specialist,PhD,1 to 14 Years,Seoul,"Korea, Rep.",Intern,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.",$56K-$83K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Market Research Analyst,Market Researcher,PhD,4 to 9 Years,Georgetown,Guyana,Part-Time,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",$57K-$82K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
HR Manager,HR Compliance Specialist,BCA,0 to 11 Years,Pretoria,South Africa,Part-Time,"An HR Compliance Specialist ensures adherence to employment laws and regulations, conducts audits, and provides guidance to maintain legal compliance within the organization.",$60K-$119K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Event Coordinator,Event Planner,M.Tech,0 to 8 Years,Singapore,Singapore,Part-Time,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",$58K-$115K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Project Manager,IT Project Manager,M.Tech,3 to 11 Years,"Malabo (de jure),",Equatorial Guinea,Full-Time,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.",$63K-$111K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Veterinarian,Exotic Animal Veterinarian,B.Com,4 to 15 Years,Paramaribo,Suriname,Part-Time,"Provide medical care and treatment to exotic animals, diagnose illnesses, perform surgeries, and educate owners on animal care.",$57K-$92K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Data Engineer,Data Architect,B.Tech,5 to 15 Years,"Washington, D.C.",USA,Full-Time,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",$56K-$97K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Electrical Designer,Lighting Designer,M.Tech,0 to 15 Years,Ṣo Tom̩,Sao Tome and Principe,Full-Time,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",$65K-$101K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Civil Engineer,Structural Engineer,PhD,4 to 14 Years,Tripoli,Libya,Temporary,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",$57K-$118K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Java Developer,Java Web Application Developer,BBA,2 to 9 Years,Skopje,"Macedonia, FYR",Full-Time,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.",$64K-$112K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
QA Analyst,Automation Test Engineer,B.Tech,2 to 13 Years,City of Baghdad,Iraq,Part-Time,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,$62K-$86K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Software Tester,Automation Tester,M.Com,3 to 13 Years,Kampala,Uganda,Intern,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,$59K-$110K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Sales Representative,Inside Sales Representative,BBA,4 to 15 Years,Lusaka,Zambia,Full-Time,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.",$58K-$87K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Business Development Manager,Sales Manager,B.Com,3 to 12 Years,Male,Maldives,Intern,"A Sales Manager leads and guides the sales team, sets sales targets, develops sales strategies, and monitors performance to achieve revenue and growth objectives.",$59K-$90K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Software Tester,Quality Assurance Analyst,BA,4 to 10 Years,Maseru,Lesotho,Part-Time,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",$56K-$95K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Software Engineer,DevOps Engineer,B.Tech,3 to 9 Years,Brazzaville,Republic Of Congo,Temporary,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",$60K-$87K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Marketing Analyst,Data Analyst,B.Tech,0 to 9 Years,Skopje,"Macedonia, FYR",Temporary,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$63K-$96K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Structural Engineer,Construction Engineer,PhD,4 to 11 Years,Podgorica,Montenegro,Contract,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.",$61K-$116K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Art Teacher,Fine Arts Instructor,M.Com,1 to 13 Years,Managua,Nicaragua,Contract,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.",$61K-$106K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Office Manager,Office Coordinator,BBA,0 to 10 Years,Ankara,Turkey,Temporary,"Office Coordinators provide administrative support within an office. They assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",$64K-$100K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Mechanical Engineer,Manufacturing Engineer,B.Tech,2 to 15 Years,Budapest,Hungary,Temporary,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",$62K-$113K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Customer Service Manager,Customer Experience Strategist,BBA,3 to 15 Years,Antananarivo,Madagascar,Contract,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions.",$64K-$101K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Marketing Specialist,Content Marketing Manager,M.Com,3 to 12 Years,Sarajevo,Bosnia and Herzegovina,Part-Time,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.",$59K-$102K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Marketing Coordinator,Marketing Specialist,PhD,4 to 14 Years,George Town,Cayman Islands,Temporary,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",$58K-$80K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
UX/UI Designer,Interaction Designer,PhD,2 to 8 Years,Kinshasa,Democratic Republic Of Congo,Part-Time,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$64K-$120K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Social Media Manager,Social Media Analyst,PhD,0 to 13 Years,Manama,Bahrain,Temporary,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.",$55K-$113K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Systems Administrator,Database Administrator,B.Com,2 to 8 Years,Muscat,Oman,Part-Time,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.",$57K-$84K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Litigation Attorney,Family Law Attorney,BCA,4 to 13 Years,Ankara,Turkey,Full-Time,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",$58K-$127K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
UX Researcher,UX Strategist,BBA,0 to 12 Years,Kigali,Rwanda,Intern,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.",$61K-$123K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Business Analyst,Healthcare Business Analyst,PhD,3 to 10 Years,Sri Jayawardenepura Kotte,Sri Lanka,Temporary,"Healthcare Business Analysts work in the healthcare industry, analyzing data and processes to improve healthcare delivery. They collaborate with healthcare professionals and IT teams to optimize systems and workflows.",$56K-$98K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Research Analyst,Data Analyst Researcher,M.Com,5 to 10 Years,Douglas,Isle of Man,Contract,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,$55K-$120K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Front-End Developer,Web Designer,M.Tech,5 to 15 Years,Riga,Latvia,Temporary,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.",$56K-$86K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Architect,Sustainable Design Specialist,MCA,3 to 14 Years,Dili,Timor-Leste,Contract,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",$55K-$93K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Email Marketing Specialist,Email Campaign Manager,M.Com,2 to 15 Years,Apia,American Samoa,Part-Time,"Plan, execute, and analyze email marketing campaigns to engage subscribers, increase conversions, and build brand awareness.",$59K-$118K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Dental Hygienist,Periodontal Therapist,MBA,1 to 10 Years,Quito,Ecuador,Full-Time,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,$64K-$96K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Administrative Assistant,Data Entry Specialist,PhD,2 to 15 Years,Saint John's,Antigua and Barbuda,Contract,"Accurately input and maintain data in databases or spreadsheets, ensuring data integrity and organization.",$62K-$107K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Financial Advisor,Retirement Planner,B.Tech,2 to 8 Years,Vilnius,Lithuania,Part-Time,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",$65K-$129K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Purchasing Agent,Inventory Manager,M.Tech,4 to 15 Years,Conakry,Guinea,Intern,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",$64K-$86K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Event Planner,Wedding Planner,B.Com,3 to 13 Years,Kinshasa,Democratic Republic Of Congo,Contract,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",$62K-$122K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Network Engineer,Network Security Engineer,BBA,5 to 9 Years,Maseru,Lesotho,Contract,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",$56K-$114K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Database Administrator,Database Analyst,BCA,2 to 11 Years,Brussels,Belgium,Contract,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.",$63K-$93K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Network Engineer,Network Administrator,MCA,1 to 8 Years,Lom̩,Togo,Temporary,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.",$60K-$105K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
UX/UI Designer,Interaction Designer,M.Com,1 to 14 Years,Lom̩,Togo,Part-Time,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$63K-$110K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Dental Hygienist,Dental Hygiene Educator,B.Com,5 to 10 Years,Bangkok,Thailand,Contract,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,$64K-$122K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Network Analyst,Network Performance Analyst,B.Com,2 to 13 Years,Amman,Jordan,Temporary,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.",$59K-$124K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Content Writer,Copywriter,PhD,4 to 11 Years,"Washington, D.C.",USA,Part-Time,"Copywriters create compelling written content for various mediums, such as advertising, websites, and marketing materials. They craft persuasive and engaging messages that resonate with target audiences.",$57K-$104K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Procurement Manager,Supplier Diversity Manager,M.Tech,3 to 11 Years,Asmara,Eritrea,Temporary,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance.",$64K-$88K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Copywriter,Creative Copywriter,B.Com,5 to 12 Years,Macao,"Macao SAR, China",Temporary,"Creative Copywriters craft engaging and persuasive copy for marketing materials, advertisements, and content marketing campaigns. They use their writing skills to captivate audiences and convey brand messages effectively.",$63K-$127K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Event Planner,Wedding Planner,BA,3 to 8 Years,Valletta,Malta,Part-Time,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",$55K-$97K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Technical Writer,Documentation Specialist,MCA,4 to 12 Years,George Town,Cayman Islands,Intern,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",$55K-$115K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Pediatrician,Pediatric Surgeon,BBA,2 to 12 Years,Victoria,Seychelles,Part-Time,"Pediatric Surgeons specialize in performing surgical procedures on children, including infants and adolescents. They diagnose surgical conditions, perform surgeries, and collaborate with other healthcare professionals to ensure the best outcomes.",$62K-$126K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Front-End Developer,UI/UX Developer,MBA,1 to 14 Years,Male,Maldives,Full-Time,A UI/UX Developer combines design and technical skills to create user-friendly interfaces for digital products. They ensure a seamless and visually appealing user experience.,$57K-$83K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Mechanical Engineer,Manufacturing Engineer,B.Com,2 to 12 Years,Majuro,Marshall Islands,Contract,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",$57K-$88K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Social Media Manager,Social Media Strategist,M.Com,4 to 15 Years,Kinshasa,Democratic Republic Of Congo,Full-Time,"Social Media Strategists develop and execute social media strategies to achieve marketing goals. They analyze social media trends, create content calendars, and measure the effectiveness of social media campaigns.",$64K-$104K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Business Analyst,IT Business Analyst,MCA,3 to 14 Years,Hanoi,Vietnam,Intern,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",$65K-$116K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Marketing Analyst,Data Analyst,BCA,4 to 15 Years,Brasilia,Brazil,Temporary,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$59K-$128K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Marketing Director,Brand Director,BCA,1 to 14 Years,Luxembourg,Luxembourg,Temporary,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",$58K-$90K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Operations Manager,Operations Director,BBA,3 to 10 Years,Jakarta,Indonesia,Temporary,"Operations Directors oversee the daily operations of an organization. They develop and implement operational strategies, manage teams, and work to optimize processes to achieve business goals and efficiency.",$58K-$127K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Event Coordinator,Wedding Coordinator,M.Tech,2 to 8 Years,Praia,Cabo Verde,Contract,"Plan and execute weddings, coordinate vendors, manage budgets, and oversee all aspects of the event to create a memorable day.",$65K-$125K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Financial Advisor,Investment Advisor,BBA,5 to 9 Years,Palikir,"Micronesia, Fed. Sts.",Full-Time,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.",$60K-$85K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
SEO Analyst,Technical SEO Analyst,BBA,5 to 15 Years,Yaounde,Cameroon,Intern,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.",$59K-$90K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Legal Assistant,Legal Secretary,BBA,3 to 15 Years,Lima,Peru,Temporary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.",$55K-$115K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Art Director,Creative Director,PhD,1 to 11 Years,Papeete,French Polynesia,Full-Time,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality.",$60K-$106K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Nurse Manager,Nurse Educator,BBA,5 to 12 Years,Hagatna,Guam,Temporary,"Nurse Educators are responsible for teaching and mentoring nursing students and healthcare professionals. They develop and deliver educational programs, assess learning outcomes, and ensure the competence of nursing staff.",$59K-$88K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Substance Abuse Counselor,Addiction Counselor,MCA,2 to 14 Years,Bratislava,Slovak Republic,Contract,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.",$63K-$130K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Registered Nurse,Staff Nurse,MCA,0 to 11 Years,Douglas,Isle of Man,Temporary,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",$63K-$114K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Sales Consultant,Sales Advisor,MCA,3 to 9 Years,Juba,South Sudan,Contract,"Sales Advisors provide expert advice to customers about products or services. They help customers make informed purchase decisions, answer questions, and offer solutions tailored to individual needs.",$63K-$124K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Paralegal,Real Estate Paralegal,BCA,2 to 12 Years,Beijing,China,Contract,"Assist in real estate transactions, including title searches, closings, and contract preparation.",$61K-$103K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
UI Developer,Front-End Developer,M.Com,5 to 14 Years,Guatemala City,Guatemala,Part-Time,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,$65K-$119K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Procurement Manager,Procurement Analyst,B.Tech,3 to 14 Years,Maseru,Lesotho,Contract,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",$57K-$128K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Psychologist,Research Psychologist,MBA,5 to 8 Years,Santiago,Chile,Temporary,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.",$61K-$118K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Data Engineer,Big Data Engineer,MBA,4 to 12 Years,Tashkent,Uzbekistan,Intern,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",$64K-$83K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Data Engineer,Data Architect,BA,2 to 8 Years,Andorra la Vella,Andorra,Intern,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",$65K-$109K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Financial Advisor,Retirement Planner,MCA,4 to 13 Years,Harare,Zimbabwe,Intern,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",$59K-$105K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Finance Manager,Financial Planning Manager,M.Com,4 to 13 Years,Lilongwe,Malawi,Part-Time,"Financial Planning Managers oversee financial planning services. They lead a team of financial planners, develop financial strategies, and ensure clients financial goals are met.",$64K-$103K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Technical Writer,Instructional Designer,M.Tech,3 to 14 Years,Belgrade,Serbia,Temporary,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,$63K-$85K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
